Date,Value,Close,log,forecast
1987-01-30,2.17,2.17,0.06669137449867235,
1987-02-06,2.43,2.43,0.11316408980008903,
1987-02-13,2.53,2.53,0.0403280453869716,
1987-02-20,2.59,2.59,0.023438572972017596,
1987-02-27,2.61,2.61,0.007692345623155645,
1987-03-13,2.41,2.41,-0.07972347383203827,
1987-03-20,2.48,2.48,0.02863181267432708,
1987-03-27,2.46,2.46,-0.008097210232619362,
1987-04-03,2.45,2.45,-0.004073325387635786,
1987-04-10,2.48,2.48,0.012170535620255114,
1987-04-17,2.51,2.51,0.012024192966801591,
1987-05-01,2.69,2.69,0.06925844047005537,
1987-05-08,2.83,2.83,0.05073551804139847,
1987-05-15,2.98,2.98,0.05164658886216676,
1987-05-22,3.22,3.22,0.07745805903900395,
1987-05-28,3.95,3.95,0.2043342193567135,
1987-06-05,4.16,4.16,0.05179949536014147,
1987-06-12,4.24,4.24,0.01904819497069441,
1987-06-19,4.18,4.18,-0.014252022707201615,
1987-06-26,4.46,4.46,0.06483751949530787,
1987-07-03,5.45,5.45,0.20046684264318007,
1987-07-10,9.3,9.3,0.5343987914840576,
1987-07-24,9.07,9.07,-0.025042136032165065,
1987-07-31,10.12,10.12,0.1095413997322742,
1987-08-14,12.71,12.71,0.22787542134204333,
1987-08-21,13.32,13.32,0.04687757991088027,
1987-08-28,11.49,11.49,-0.14778957325157882,
1987-09-04,10.97,10.97,-0.0463128175735254,
1987-09-11,10.51,10.51,-0.0428370893982792,
1987-09-18,10.91,10.91,0.037352614956119634,
1987-09-25,10.29,10.29,-0.05850724999902127,
1987-10-02,10.0,10.0,-0.028587456851912506,
1987-10-09,9.98,9.98,-0.0020020026706730793,
1987-10-16,9.3,9.3,-0.07056869016416231,
1987-10-23,8.23,8.23,-0.12222838547023188,
1987-10-26,8.4,8.4,0.02044569116028952,
1987-10-27,8.27,8.27,-0.015597196813668042,
1987-10-28,8.13,8.13,-0.017073585475880563,
1987-10-30,7.86,7.86,-0.03377431711860415,
1987-11-02,7.65,7.65,-0.027080958602670697,
1987-11-03,7.4,7.4,-0.03322564762832039,
1987-11-04,7.08,7.08,-0.04420609250449568,
1987-11-05,6.78,6.78,-0.04329680575332419,
1987-11-06,6.53,6.53,-0.03757015866396453,
1987-11-09,6.27,6.27,-0.040630588643510455,
1987-11-10,6.18,6.18,-0.014458083175229888,
1987-11-11,5.97,5.97,-0.03457134406508867,
1987-11-12,5.89,5.89,-0.013490929741015402,
1987-11-13,5.65,5.65,-0.0416004525051457,
1987-11-16,7.02,7.02,0.21710767287937005,
1987-11-17,7.57,7.57,0.07542984941163774,
1987-11-18,7.55,7.55,-0.0026455041884241655,
1987-11-19,7.43,7.43,-0.0160217045312656,
1987-11-20,7.34,7.34,-0.012187016103243565,
1987-11-23,7.33,7.33,-0.0013633267278640533,
1987-11-24,7.7,7.7,0.04924481296107806,
1987-11-25,8.48,8.48,0.09649012094417347,
1987-11-26,8.5,8.5,0.0023557136924589835,
1987-11-27,8.64,8.64,0.0163364193196936,
1987-11-30,8.91,8.91,0.030771658666753687,
1987-12-01,8.6,8.6,-0.035412038223255955,
1987-12-02,7.94,7.94,-0.07984892800041762,
1987-12-03,8.13,8.13,0.023647648300674843,
1987-12-04,7.92,7.92,-0.026169717733384834,
1987-12-07,7.44,7.44,-0.06252035698133393,
1987-12-08,6.89,6.89,-0.07679976381943335,
1987-12-09,7.08,7.08,0.0272028226800612,
1987-12-10,6.81,6.81,-0.0388817875442074,
1987-12-11,6.77,6.77,-0.005891033237237419,
1987-12-14,6.61,6.61,-0.02391743306058858,
1987-12-15,6.83,6.83,0.03274101971910366,
1987-12-16,6.98,6.98,0.02172424319158249,
1987-12-17,6.87,6.87,-0.015884810540023213,
1987-12-18,6.88,6.88,0.0014545457109943617,
1987-12-21,6.82,6.82,-0.008759180089881465,
1987-12-22,6.72,6.72,-0.014771317320312656,
1987-12-23,6.55,6.55,-0.025623104887897645,
1987-12-24,6.39,6.39,-0.024730781257717112,
1987-12-25,6.33,6.33,-0.009434032233358529,
1987-12-28,6.51,6.51,0.028039220064392908,
1987-12-29,6.44,6.44,-0.010810916104215506,
1987-12-30,6.55,6.55,0.016936509530898255,
1987-12-31,6.73,6.73,0.02711009400947602,
1988-01-04,6.89,6.89,0.023495941368930684,
1988-01-05,7.07,7.07,0.02578939488291423,
1988-01-06,7.07,7.07,0.0,
1988-01-07,7.03,7.03,-0.005673774085907825,
1988-01-08,6.96,6.96,-0.010007231476245243,
1988-01-11,7.03,7.03,0.010007231476245396,
1988-01-12,7.24,7.24,0.02943450057505153,
1988-01-13,7.35,7.35,0.0150791068271203,
1988-01-14,7.83,7.83,0.06326219677796653,
1988-01-15,7.69,7.69,-0.01804172648515913,
1988-01-18,7.89,7.89,0.02567535134023027,
1988-01-19,8.52,8.52,0.0768202059834414,
1988-01-20,8.42,8.42,-0.011806512586988952,
1988-01-21,8.12,8.12,-0.0362796740806489,
1988-01-22,8.32,8.32,0.02433210065953072,
1988-01-25,8.58,8.58,0.030771658666753687,
1988-01-26,8.46,8.46,-0.01408473988173886,
1988-01-27,8.35,8.35,-0.013087634755367984,
1988-01-28,8.45,8.45,0.01190490250631824,
1988-01-29,8.58,8.58,0.0152674721307886,
1988-02-01,8.56,8.56,-0.0023337233462201,
1988-02-02,8.36,8.36,-0.023641763057040653,
1988-02-03,7.94,7.94,-0.051545151837565764,
1988-02-04,7.98,7.98,0.0050251362026729795,
1988-02-05,7.79,7.79,-0.02409755157906053,
1988-02-08,7.59,7.59,-0.026009268475118325,
1988-02-09,7.3,7.3,-0.038957243253193156,
1988-02-10,7.23,7.23,-0.00963531198367203,
1988-02-11,7.27,7.27,0.005517255374754659,
1988-02-12,7.47,7.47,0.02713870759929802,
1988-02-15,7.3,7.3,-0.02302065099038044,
1988-02-16,7.03,7.03,-0.03768764233177181,
1988-02-17,6.74,6.74,-0.04212678089835788,
1988-02-18,6.17,6.17,-0.08836108700691932,
1988-02-19,6.42,6.42,0.039719279784573375,
1988-02-22,6.89,6.89,0.07065296732369745,
1988-02-23,6.79,6.79,-0.014620143454962431,
1988-02-24,6.79,6.79,0.0,
1988-02-25,6.85,6.85,0.008797710703529131,
1988-02-26,6.93,6.93,0.01161116092767806,
1988-02-29,7.21,7.21,0.03960913809504588,
1988-03-01,7.1,7.1,-0.015374167249587964,
1988-03-02,6.94,6.94,-0.02279300952855646,
1988-03-03,6.79,6.79,-0.021850832948108422,
1988-03-04,6.86,6.86,0.010256500167189061,
1988-03-07,6.82,6.82,-0.0058479698824231,
1988-03-08,6.68,6.68,-0.02074148430681647,
1988-03-09,6.75,6.75,0.010424517335884207,
1988-03-10,6.77,6.77,0.0029585820397450414,
1988-03-11,6.78,6.78,0.0014760150281206794,
1988-03-14,6.77,6.77,-0.0014760150281206525,
1988-03-15,6.76,6.76,-0.0014781968693108945,
1988-03-16,6.71,6.71,-0.0074239390712822805,
1988-03-17,6.64,6.64,-0.010486987495247962,
1988-03-18,6.67,6.67,0.004507896439189922,
1988-03-21,6.86,6.86,0.028087581810261636,
1988-03-22,6.78,6.78,-0.011730339785489716,
1988-03-23,6.7,6.7,-0.011869575555383882,
1988-03-24,6.66,6.66,-0.005988041844622557,
1988-03-25,6.7,6.7,0.005988041844622693,
1988-03-28,6.64,6.64,-0.008995562908577986,
1988-03-29,6.48,6.48,-0.02439145312415901,
1988-03-30,6.3,6.3,-0.02817087696669645,
1988-03-31,6.35,6.35,0.007905179507113247,
1988-04-01,6.31,6.31,-0.006319136351478546,
1988-04-04,6.06,6.06,-0.040425876471898686,
1988-04-05,5.95,5.95,-0.01831858052368463,
1988-04-06,5.98,5.98,0.0050293484050019585,
1988-04-07,5.84,5.84,-0.023689771122404776,
1988-04-08,5.76,5.76,-0.013793322132335873,
1988-04-11,5.51,5.51,-0.044372851542976766,
1988-04-12,5.07,5.07,-0.08322380556173117,
1988-04-13,5.39,5.39,0.061204567317813874,
1988-04-14,5.33,5.33,-0.011194146743152587,
1988-04-15,5.3,5.3,-0.00564441761967707,
1988-04-18,5.14,5.14,-0.030653741091002402,
1988-04-19,5.09,5.09,-0.00977524890464233,
1988-04-20,5.03,5.03,-0.011857846450783503,
1988-04-21,4.9,4.9,-0.02618477899506691,
1988-04-22,5.01,5.01,0.022200709980192333,
1988-04-25,4.99,4.99,-0.004000005333346017,
1988-04-26,5.16,5.16,0.033500669730043994,
1988-04-27,5.23,5.23,0.01347469858336019,
1988-04-28,5.4,5.4,0.0319876754933971,
1988-04-29,5.54,5.54,0.025595547188963723,
1988-05-02,5.73,5.73,0.033721029967455796,
1988-05-03,5.53,5.53,-0.03552771519240477,
1988-05-04,5.5,5.5,-0.00543972329581821,
1988-05-05,5.46,5.46,-0.007299302481611608,
1988-05-06,5.53,5.53,0.012739025777429712,
1988-05-09,5.68,5.68,0.026763417198816506,
1988-05-10,5.68,5.68,0.0,
1988-05-11,5.82,5.82,0.02434902901028655,
1988-05-12,5.77,5.77,-0.008628181223338343,
1988-05-13,5.86,5.86,0.015477523068913143,
1988-05-16,6.1,6.1,0.04013916759034426,
1988-05-20,6.25,6.25,0.0242926925690447,
1988-05-23,6.0,6.0,-0.040821994520255166,
1988-05-24,5.85,5.85,-0.025317807984289897,
1988-05-25,5.67,5.67,-0.031252543504104426,
1988-05-26,5.77,5.77,0.01748296278034738,
1988-05-27,5.64,5.64,-0.022788015010040696,
1988-05-30,5.49,5.49,-0.02695580998852822,
1988-05-31,5.53,5.53,0.007259560012804102,
1988-06-01,5.5,5.5,-0.00543972329581821,
1988-06-02,5.47,5.47,-0.005469475804535433,
1988-06-03,5.43,5.43,-0.0073394824880457996,
1988-06-06,5.36,5.36,-0.012975158863133305,
1988-06-07,5.38,5.38,0.0037243990909822727,
1988-06-08,5.35,5.35,-0.0055918132657779415,
1988-06-09,5.31,5.31,-0.007504725654067693,
1988-06-10,5.28,5.28,-0.005665737535677196,
1988-06-13,5.21,5.21,-0.0133462419528946,
1988-06-14,5.1,5.1,-0.021339316034995493,
1988-06-15,5.22,5.22,0.023256862164267183,
1988-06-16,5.04,5.04,-0.03509131981127006,
1988-06-17,4.92,4.92,-0.02409755157906053,
1988-06-20,4.94,4.94,0.004056800695614469,
1988-06-21,5.0,5.0,0.01207258123426924,
1988-06-22,5.03,5.03,0.005982071677547469,
1988-06-23,5.02,5.02,-0.0019900504080101475,
1988-06-24,4.99,4.99,-0.005994023940210413,
1988-06-27,4.92,4.92,-0.014127379259210565,
1988-06-28,4.86,4.86,-0.012270092591814247,
1988-06-29,4.79,4.79,-0.014508026489578633,
1988-06-30,4.69,4.69,-0.021097828964635815,
1988-07-01,4.63,4.63,-0.012875714360045393,
1988-07-04,4.53,4.53,-0.021834928603199955,
1988-07-05,4.4,4.4,-0.029117398570727097,
1988-07-06,4.16,4.16,-0.056089466651043585,
1988-07-07,4.15,4.15,-0.0024067400305649764,
1988-07-08,4.37,4.37,0.05165467486489172,
1988-07-11,4.57,4.57,0.04475019579861462,
1988-07-12,4.44,4.44,-0.02885882846197996,
1988-07-13,4.41,4.41,-0.006779686985378804,
1988-07-14,4.43,4.43,0.004524894598289503,
1988-07-15,4.52,4.52,0.02011240978709547,
1988-07-18,4.78,4.78,0.05592855265922498,
1988-07-19,4.69,4.69,-0.019007964045176632,
1988-07-20,4.71,4.71,0.00425532557013827,
1988-07-21,4.91,4.91,0.04158603377810282,
1988-07-22,4.96,4.96,0.010131798930406955,
1988-07-28,4.94,4.94,-0.004040409537004863,
1988-07-29,4.93,4.93,-0.002026343145232584,
1988-08-01,4.71,4.71,-0.04565108002627233,
1988-08-02,4.5,4.5,-0.045610511252052295,
1988-08-03,4.52,4.52,0.004434597067865554,
1988-08-04,4.54,4.54,0.0044150182091169145,
1988-08-05,4.54,4.54,0.0,
1988-08-08,4.61,4.61,0.015300844955300543,
1988-08-09,4.58,4.58,-0.0065288588824636675,
1988-08-10,4.58,4.58,0.0,
1988-08-11,4.52,4.52,-0.013187004281953914,
1988-08-12,4.54,4.54,0.0044150182091169145,
1988-08-15,4.58,4.58,0.008771986072837041,
1988-08-16,4.55,4.55,-0.006571765163234614,
1988-08-17,4.49,4.49,-0.013274531208696075,
1988-08-18,4.46,4.46,-0.0067039357221903295,
1988-08-19,4.45,4.45,-0.002244669853823862,
1988-08-22,4.42,4.42,-0.006764400088542149,
1988-08-23,4.38,4.38,-0.009090971701251963,
1988-08-24,4.36,4.36,-0.004576667027411755,
